Player_Name,Date,School,Opponent,Type,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,Class
desmond bane,2020-01-29,TCU,Texas,REG,L,1,30,3,8,0.375,1,2,0.5,2,6,0.333,4,4,1,2,3,5,2,0,0,2,2,12,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2020-02-01,TCU,Baylor,REG,L,1,37,5,14,0.357,2,8,0.25,3,6,0.5,1,2,0.5,0,3,3,2,2,1,2,2,14,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2020-02-05,TCU,Oklahoma State,REG,L,1,38,6,15,0.4,4,10,0.4,2,5,0.4,0,0,NA,3,5,8,6,1,0,3,1,14,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2020-02-08,TCU,Kansas,REG,L,1,37,8,19,0.421,6,11,0.545,2,8,0.25,2,3,0.667,0,5,5,3,3,2,0,4,20,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2020-02-10,TCU,Texas Tech,REG,L,1,28,3,9,0.333,2,4,0.5,1,5,0.2,0,1,0,1,2,3,1,1,1,5,2,7,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2020-02-15,TCU,Kansas State,REG,W,1,33,6,14,0.429,1,4,0.25,5,10,0.5,0,0,NA,1,7,8,8,1,4,4,3,17,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2020-02-19,TCU,Texas,REG,L,1,40,4,13,0.308,3,7,0.429,1,6,0.167,4,4,1,3,6,9,3,3,0,3,2,13,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2020-02-22,TCU,West Virginia,REG,W,1,43,3,15,0.2,1,8,0.125,2,7,0.286,0,0,NA,2,4,6,10,0,2,1,3,8,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2020-02-25,TCU,Iowa State,REG,L,1,40,8,17,0.471,5,11,0.455,3,6,0.5,3,4,0.75,6,5,11,5,2,0,2,1,22,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2020-02-29,TCU,Baylor,REG,W,1,37,9,18,0.5,4,10,0.4,5,8,0.625,0,0,NA,0,5,5,4,1,1,2,2,23,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2020-03-04,TCU,Kansas,REG,L,1,40,8,15,0.533,2,5,0.4,6,10,0.6,2,3,0.667,0,5,5,4,0,0,5,1,24,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2020-03-07,TCU,Oklahoma,REG,L,1,38,10,18,0.556,6,12,0.5,4,6,0.667,0,0,NA,0,5,5,6,0,0,3,2,24,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
